Recurring Fee Inputs,,,,,,,
Standard Markup Percentage,30.0%,,,,,,
,,,,,,,
Service Description,SKU,Unit,Base Cost,Direct Purchase Rate,SMA Bundled Rate,Billing Cycle,Notes
"Annual Maintenance Agreement - System Value $500-$5,000",REC-AMA-TR1-ANN,YEAR,$375.00,$487.50,$438.75,Annual,"Base Rate for annual maintenance agreements. Covers only standard maintence and updates. Bank of hours, and System cost percentages stack on top of the base rate. Tier 1 System Value not to Exceed $5,000"
"Annual Maintenance Agreement - System Value $5,000-$10,000",REC-AMA-TR2-ANN,YEAR,$750.00,$975.00,$877.50,Annual,"Base Rate for annual maintenance agreements. Covers only standard maintence and updates. Bank of hours, and System cost percentages stack on top of the base rate. Tier 2 System Value not to Exceed $10,000"
"Annual Maintenance Agreement - System Value $10,000-$18,000",REC-AMA-TR3-ANN,YEAR,"$1,000.00","$1,300.00","$1,170.00",Annual,"Base Rate for annual maintenance agreements. Covers only standard maintence and updates. Bank of hours, and System cost percentages stack on top of the base rate. Tier 3 System Value not to Exceed $18,000"
"Annual Maintenance Agreement - System Value $18,000-$30,000",REC-AMA-TR4-ANN,YEAR,"$1,850.00","$2,405.00","$2,164.50",Annual,"Base Rate for annual maintenance agreements. Covers only standard maintence and updates. Bank of hours, and System cost percentages stack on top of the base rate. Tier 4 System Value not to Exceed $30,000"
"Annual Maintenance Agreement - System Value $30,000<",REC-AMA-TR5-ANN,YEAR,"$2,300.00","$2,990.00","$2,691.00",Annual,"Base Rate for annual maintenance agreements. Covers only standard maintence and updates. Bank of hours, and System cost percentages stack on top of the base rate. Tier 5 System Value exceeds $30,000"
Monthly Monitoring Service,REC-MON-MON,MONTH,$39.99,$51.99,$46.79,Monthly,24/7 system monitoring provided through a 3rd party monitoring company
Monthly Monitoring Service,REC-MON-MON,MONTH,$18.99,$24.69,$22.22,Monthly,24/7 system monitoring provided through a 3rd party monitoring company
Cloud Storage Backup,REC-CLD-STG-MON,MONTH,$49.99,$64.99,$58.49,Monthly,"1TB cloud storage backup. Use for System images, evidence locked footage, or additional recording space"
Cloud Door Access Hosting (Per Door),REC-CLD-ACP-MON,MONTH,$20.00,$26.00,$23.40,Monthly,Cloud hosting for Access Control System. Per door rate
Cloud VMS Hosting (Per Camera),REC-CLD-VMS-MON,MONTH,$20.00,$26.00,$23.40,Monthly,Cloud hosting for Video Management System. Per camera rate. Each camera include 45 days of recording storage at 15FPS 1080P
SMA Bank of Hours ,REC-LAB-BOH-ANN,YEAR,$50.00,$65.00,$58.50,Annual,Bank of Hours available for pre purchase to cover labor costs for covered service items in SMA Contracts. Bank of hours do not roll over any unused hour are forfitted at contract renewal
SMA System Value Modifier,REC-SMA_SVM-ANN,YEAR,12%,15.60%,14.04%,Annual,The System Value Modifier is a percentage applied to the total material value of the covered system and is stacked on top of the Base SMA Rate. For systems installed by Smoky Peak the material cost at time of install is used as the valuation basis. For inherited systems or systems exceeding five years of age the valuation is determined by current market direct replacement cost for all covered equipment. System valuations are reviewed and updated every five years or at contract renewal following a system revaluation. The SVM percentage varies by purchase type and is applied annually as part of the total SMA calculation.
,,,,,,,
Notes,,,,,,,
1. Standard markup percentage is applied to the base cost to determine the direct purchase rate.,,,,,,,
2. SMA Bundled Rate applies when the service is purchased as part of a Service Maintenance Agreement.,,,,,,,
3. Billing cycles are strictly enforced as specified per item.,,,,,,,
4. Base costs are subject to change based on vendor pricing and inflation.,,,,,,,
5. All recurring fees are non-refundable once billed.,,,,,,,
