Description,Multiplier Category,Multiplier Type,Applied To,Modification Rate,Notes and Rules
Existing Conduit Reuse,Structural,Percentage Basis,Total Labor Cost,8%,"Applied when existing conduit must be used for new cable runs requiring pull string retrieval, conduit inspection, and potential reaming or cleaning prior to installation. Reflects increased labor time associated with working within existing pathway infrastructure."
High Ceiling or Elevated Work Areas,Structural,Percentage Basis,Total Labor Cost,10%,"Applied when installation requires work at heights exceeding standard ladder reach including but not limited to scissor lift, boom lift, or scaffolding required installations. Reflects increased setup time, equipment requirements, and safety compliance demands on elevated work."
Confined Space Access,Structural,Percentage Basis,Total Labor Cost,12%,"Applied when installation requires access to confined spaces including crawl spaces, ceiling plenums with restricted clearance, mechanical rooms with limited entry, or below grade spaces requiring special access procedures. Reflects increased physical demands and time associated with confined space work."
After Hours Required Installation,Access,Percentage Basis,Total Labor Cost,20%,Applied when the client requires installation to occur outside of standard business hours due to operational requirements. Reflects premium labor cost associated with after hours scheduling and technician availability. Applied to total labor cost in addition to standard after hours labor rates.
Occupied Building Restrictions,Access,Percentage Basis,Total Labor Cost,8%,"Applied when installation must be performed within an occupied and actively operating building requiring noise restrictions, phased access, coordinated scheduling around tenant operations, or additional protection of existing finishes and furnishings."
Multi-Floor or Multi-Building Campus,Structural,Percentage Basis,Total Labor Cost,12%,"Applied when the project scope spans multiple floors within a single building or multiple buildings within a campus environment. Reflects increased mobilization time, material staging complexity, and coordination demands across distributed work areas."
Prevailing Wage Requirements,Compliance,Percentage Basis,Total Labor Cost,18%,Applied when the project is subject to prevailing wage requirements under federal or state contract regulations. Reflects the increased labor cost associated with prevailing wage rates above standard market billing rates for East Tennessee.
Data Center or Cleanroom Environment,Compliance,Percentage Basis,Total Labor Cost,15%,"Applied when installation occurs within a data center, server room, or cleanroom environment requiring strict protocols for dust control, electrostatic discharge prevention, equipment protection, and access credentialing. Reflects the increased complexity, preparation time, and compliance requirements of working in sensitive environments."
Historical or Protected Building Restrictions,Compliance,Percentage Basis,Total Labor Cost,15%,"Applied when installation occurs within a historically designated or architecturally protected building requiring non-destructive installation methods, special fastening systems, preservation of existing finishes, and potential coordination with preservation authorities. Reflects the significantly increased labor time and material cost associated with compliant installation in protected structures."
Escort or Access Limitations ,Compliance,Percentage Basis,Total Labor Cost,12%,"Applied when site access requires credentialed escort personnel, security clearance verification, badging procedures, or scheduled access windows that limit technician movement throughout the facility. Includes government buildings, correctional facilities, and healthcare facilities with secure wing requirements. Reflects the increased labor time associated with access delays, mandatory escort wait times, and restricted scheduling throughout the visit."
,,,,,
Notes,,,,,
1. All complexity multipliers on this tab are percentage based and are applied to the total labor cost of the project not the total project value,,,,,
2. Multiple multipliers may apply to a single project and are each calculated independently against the total labor cost then summed,,,,,
3. No multipliers are capped. Each applicable multiplier is applied in full regardless of how many are active on a single project,,,,,
4. Multiplier rates are reviewed annually and updated to reflect current market and operational conditions,,,,,
5. All applicable multipliers must be identified and documented at time of quoting and included in the project proposal presented to the client,,,,,
