"id","type","performanceLocationRequirement","name","description"
"txcd_99999999","physical","optional","General - Tangible Goods","A physical good that can be moved or touched. Also known as tangible personal property."
"txcd_20030000","services","optional","General - Services","General category for services. Only use this if you don't have a more specific category. You should set specific tax codes on each product or service you sell. EU only: Business-to-consumer sales are taxable at origin; business-to-business are taxable at destination."
"txcd_10000000","digital","none","General - Electronically Supplied Services","A digital service provided mainly through the internet with minimal human involvement, relying on information technology. Consider more specific categories like software, digital goods, cloud services, or website services for your product (especially if you sell in the US). If you stay with this category, taxes will be similar to those for a generic digital item like downloaded music."
"txcd_00000000","physical","optional","Nontaxable","Any nontaxable good or service which can be used to ensure no tax is applied, even for jurisdictions that impose a tax."
"txcd_10010001","digital","none","Infrastructure as a service (IaaS) - personal use","Cloud service offering infrastructure resources (specifically server storage, RAM, and CPU usage) over the internet. This offering is intended for personal use, rather than for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
"txcd_10101000","digital","none","Infrastructure as a service (IaaS) - business use","Cloud service offering infrastructure resources (specifically server storage, RAM, and CPU usage) over the internet. This offering is intended for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
"txcd_10102000","digital","none","Platform as a service (PaaS) - business use","Cloud service providing a platform for users to develop, run, and manage applications. This offering is intended for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
"txcd_10102001","digital","none","Platform as a Service (PaaS) - personal use","Cloud service providing a platform for users to develop, run, and manage applications. This offering is intended for personal use, rather than for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
"txcd_10103000","digital","none","Software as a service (SaaS) - personal use","Cloud services software delivered over the internet. The software isn't customized for a specific buyer and they don't download anything. The software is intended for personal use, rather than for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
"txcd_10103001","digital","none","Software as a service (SaaS) - business use","Cloud services software delivered over the internet. The software isn't customized for a specific buyer and they don't download anything. The software is intended for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
"txcd_10103100","digital","none","Software as a service (SaaS) - electronic download - personal use","Cloud services software delivered over the internet. The software isn't customized for a specific buyer and this model assumes an electronic transfer to the buyer, such as an app download. The software is intended for personal use, rather than for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
"txcd_10103101","digital","none","Software as a service (SaaS) - electronic download - business use","Cloud services software delivered over the internet. The software isn't customized for a specific buyer and this model assumes an electronic transfer to the buyer, such as an app download. The software is intended for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
"txcd_10104001","digital","none","Cloud-based business process as a service","Cloud service providing business process outsourcing services over the internet."
"txcd_10105001","digital","none","Artificial Intelligence as a Service (AIaaS) - Cloud Based - Personal Use","Access to artificial intelligence tools (such as LLMs, image generators, or chatbots) hosted entirely on the provider's servers and accessed via a web browser or mobile app. The intent is for personal use, rather than for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
"txcd_10105002","digital","none","Artificial Intelligence as a Service (AIaaS) - Cloud Based - Business Use","Access to cloud-hosted artificial intelligence platforms for commercial, professional, or organizational purposes. The intent is for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
"txcd_10105003","digital","none","Artificial Intelligence as a Service (AIaaS) - Cloud Based & Downloaded - Personal Use","A hybrid AI service where a portion of the software (such as a local client, desktop application, or model weight files) is downloaded and installed on a personal device to work in conjunction with cloud services. The intent is for personal use, rather than for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
"txcd_10105004","digital","none","Artificial Intelligence as a Service (AIaaS) - Cloud Based & Downloaded - Business Use","A hybrid AI service that requires the installation of local components (e.g., an AI-powered IDE plugin, local inference engines, or enterprise desktop software) to work in conjunction with cloud services. The intent is for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
"txcd_10201000","digital","none","Video Games - downloaded - non subscription - with permanent rights","Video or electronic games in the common sense that are transferred electronically. These goods are downloaded to a device with permanent access granted. This does not include games that are considered betting, gambling, lottery, and so on."
"txcd_10201001","digital","none","Video Games - downloaded - non subscription - with limited rights","Video or electronic games in the common sense that are transferred electronically. These goods are downloaded to a device with access that expires after a stated period of time. This does not include games that are considered betting, gambling, lottery, and so on."
"txcd_10201002","digital","none","Video Games - downloaded - subscription - with conditional rights","Video or electronic games in the common sense that are transferred electronically. These goods are downloaded to a device with access that is conditioned upon continued subscription payment. This does not include games that are considered betting, gambling, lottery, and so on."
"txcd_10201003","digital","none","Video Games - streamed - non subscription - with limited rights","Video or electronic games in the common sense that are transferred electronically. These goods are streamed to a device with access that expires after a stated period of time. This does not include games that are considered betting, gambling, lottery, and so on."
"txcd_10201004","digital","none","Video Games - streamed - subscription - with conditional rights","Video or electronic games in the common sense that are transferred electronically. These goods are streamed to a device with access that is conditioned upon continued subscription payment. This does not include games that are considered betting, gambling, lottery, and so on."
"txcd_10202000","digital","none","Downloadable Software - personal use","Prewritten (""canned"") software that the buyer downloads. The software is intended for personal use, rather than for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
"txcd_10202001","digital","none","Downloadable Software - non-recreational - personal use","Prewritten (""canned"") software that the buyer downloads used for non-recreational purposes, such as antivirus, database, educational, financial, word processing, and so on. The software is intended for personal use, rather than for consumption in a commercial enterprise. Note: The distinction between business use and personal use for this tax code is relevant only if you are transacting business in the US."
