Consumables and Shop Supplies ,,,,,,,,,
Product Description,Manufacturer,Part Number,SKU,Waste Factor %,Units,Unit Cost,Sale Price,Labor Units,Labor Rate
128 FL OZ DISTILLED WHITE VINEGAR,MEMBERS MARK,789344,CON-VIN-128-MEM,2.5%,FLUID OUNCES ,$0.06,$0.08,0.025,$46.62
STANDARD AA BATTERY ,DURACELL,MN15P36,CON-BAT-AA-DUR,0.0%,EACH,$0.84,$1.09,0.025,$46.62
STANDARD AAA BATTERY,DURACELL,MN24P36,CON-BAT-AAA-DUR,0.0%,EACH,$0.72,$0.94,0.025,$46.62
STANDARD 9V BATTERY,DURACELL,MN1604BKD,CON-BAT-9V-DUR,0.0%,EACH,$2.58,$3.35,0.033,$46.62
STANDARD CR123A BATTERY,AMAZON BASICS,CR123AB/24FB,CON-BAT-123-AMZ,0.0%,EACH,$1.66,$2.16,0.025,$46.62
STANDARD CR2032 COIN BATTERY ,PHILLIPS,CR2032,CON-BAT-203-PHI,0.0%,EACH,$0.44,$0.57,0.025,$46.62
STANDARD D BATTERY,DURACELL,MN1300,CON-BAT-D-DUR,5.0%,EACH,$1.61,$2.09,0.025,$46.62
STANDARD C BATTERY,DURACELL,MN1400,CON-BAT-C-DUR,5.0%,EACH,$1.75,$2.28,0.025,$46.62
RECHARGEABLE AA BATTERY ,AMAZON BASICS,210AAHCB,CON-RBT-AA-AMZ,0.0%,EACH,$1.07,$1.39,0.025,$46.62
RECHARGEABLE AAA BATTERY,AMAZON BASICS,85AAAHCB,CON-RBT-AAA-AMZ,0.0%,EACH,$0.60,$0.78,0.025,$46.62
RECHARGEABLE 9V BATTERY,AMAZON BASICS,COR00003,CON-RBT-9V-AMZ,0.0%,EACH,$3.74,$4.86,0.025,$46.62
RECHARGEABLE C BATTERY,AMAZON BASICS,COR00001,CON-RBT-C-AMZ,0.0%,EACH,$4.09,$5.32,0.025,$46.62
RECHARGEABLE D BATTERY,AMAZON BASICS,COR00002,CON-RBT-D-AMZ,0.0%,EACH,$5.95,$7.74,0.025,$46.62
60W DAYLIGHT WHITE 5000K A19 LED BULB,AMAZON BASICS,FG-03830,CON-A19-DLW-AMZ,0.0%,EACH,$0.96,$1.25,0.05,$46.62
60W WARM WHITE 3000K A19 LED BULB,AMAZON BASICS,FG-03979,CON-A19-WW-AMZ,0.0%,EACH,$0.96,$1.25,0.05,$46.62
60W SOFT WHITE 2700K A19 LED BULB,AMAZON BASICS,FG-03832,CON-A19-SW-AMZ,0.0%,EACH,$0.96,$1.25,0.05,$46.62
65W SOFT WHITE 2700K BR30 LED BULB,AMAZON BASICS,FG-03450,CON-BR30-SW-AMZ,0.0%,EACH,$1.62,$2.11,0.05,$46.62
65W DAYLIGHT WHITE 5000K BR30 LED BULB,AMAZON BASICS,FG-03453,CON-BR30-DLW-AMZ,0.0%,EACH,$1.62,$2.11,0.05,$46.62
60W DAYLIGHT WHITE 5000K B10 LED BULB,SYLVANIA,40207,CON-B10-DLW-SYL,0.0%,EACH,$2.06,$2.68,0.05,$46.62
50W WARM WHITE 3000K PAR16 LED BULB,PHILLIPS,570762,CON-PAR-WW-PHI,0.0%,EACH,$3.89,$5.06,0.05,$46.62
45W SOFT WHITE 2700K R20 LED BULB,PHILLIPS,576496,CON-R20-SW-PHI,0.0%,EACH,$5.95,$7.74,0.05,$46.62
45W DAYLIGHT WHITE 5000K R20 LED BULB,PHILLIPS ,576488,CON-R20-DLW-PHI,0.0%,EACH,$5.95,$7.74,0.05,$46.62
50W WARM WHITE 3000K MR16 LED BULB,AMAZON BASICS,FG-03434,CON-MR16-WW-AMZ,0.0%,EACH,$2.65,$3.45,0.05,$46.62
50W DAYLIGHT WHITE 5000K MR16 LED BULB,AMAZON BASICS,FG-03435,CON-MR16-DLW-AMZ,0.0%,EACH ,$2.65,$0.80,0.05,$46.62
RID-X SEPTIC TANK TREATMENT PODS,RID-X,1920084249,CON-RID-SEP-TRM,0.0%,EACH,$4.53,$5.89,0.025,$46.62
KITCHEN PAPER TOWELS 2-PLY,GENUINE JOE,GJO24085,CON-2PY-PT-GEJ,10.0%,EACH,$1.21,$1.57,0.02,$46.62
42 GALLON 3MIL BLACK GARBAGE BAG,COMMANDER,735692035336,CON-3MI-BLA-COM,5.0%,EACH,$0.79,$1.03,0.02,$46.62
KITCHEN & BATH KWIK SEAL PLUS WHITE SEALANT,DAP,18510,CON-KWI-WHI-KB-DAP,15.0%,EACH,$7.89,$10.26,1.25,$46.62
